GeneID	REP1.B_b	REP1.B_m	REP2.B_b	REP2.B_m	REP3.B_b	REP3.B_m	REP4.B_b	REP4.B_m	REP1.M_b	REP1.M_m	REP2.M_b	REP2.M_m	REP3.M_b	REP3.M_m	REP4.M_b	REP4.M_m	REP1.BM_b	REP1.BM_m	REP2.BM_b	REP2.BM_m	REP3.BM_b	REP3.BM_m	REP4.BM_b	REP4.BM_m	REP1.MB_b	REP1.MB_m	REP2.MB_b	REP2.MB_m	REP3.MB_b	REP3.MB_m	REP4.MB_b	REP4.MB_m	REP1_B.total	REP1_M.total	REP1_BM.total	REP1_MB.total	REP2_B.total	REP2_M.total	REP2_BM.total	REP2_MB.total	REP3_B.total	REP3_M.total	REP3_BM.total	REP3_MB.total	REP4_B.total	REP4_M.total	REP4_BM.total	REP4_MB.total
GRMZM2G011141	97	1	100	1	94	0	110	0	2	82	2	63	0	63	0	80	41	32	41	36	45	38	49	36	50	52	33	50	45	41	54	41	314	264	227	349	326	207	260	255	307	243	296	299	362	311	297	318
GRMZM2G172086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	0	2	3	0	2	0	1	0	2	0	1
GRMZM2G496319	137	0	80	0	55	0	43	0	2	22	0	21	0	23	0	18	50	22	42	14	37	22	40	30	33	28	58	22	35	12	25	21	283	148	248	223	203	132	159	240	172	153	227	207	200	97	260	210
GRMZM2G390223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
GRMZM2G704251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	8	10	21	13	9	12	13	20	14	22	16	30	15	21
GRMZM5G891058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G156398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1
GRMZM2G087612	92	1	64	0	115	1	107	0	1	93	2	75	0	105	0	95	32	28	35	41	63	60	72	53	34	47	38	49	62	64	58	55	385	454	343	430	322	398	389	366	470	538	524	555	444	495	507	551
GRMZM5G817035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	196	160	191	149	147	177	134	169	244	203	221	203	199	208	209
GRMZM2G153476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	195	141	189	146	169	164	165	193	207	190	214	189	242	199	195
